fecha,ARIMA Point Forecast,ARIMA Lo 80,ARIMA Hi 80,ARIMA Lo 95,ARIMA Hi 95,ETS Point Forecast,ETS Lo 80,ETS Hi 80,ETS Lo 95,ETS Hi 95,LM Point Forecast,LM Lo 80,LM Hi 80,LM Lo 95,LM Hi 95,NNETAR
2025-04-01,0.21319879238277695,-0.3620901785983839,0.7884877633639378,-0.6666297639867266,1.0930273487522806,-0.07878999619811627,-0.6444724101140156,0.4868924177177831,-0.9439265913781065,0.7863465989818739,-0.12529122660058634,-1.0663626777372648,0.815780224536092,-1.5667285474543928,1.3161460942532202,-0.09721810512504436
2025-05-01,0.048642367049862134,-0.7432766240189018,0.8405613581186261,-1.1624932149261062,1.2597779490258305,-0.1840684327852197,-0.9527121437653596,0.5845752781949203,-1.3596075456605485,0.9914706800901091,-0.5051709555125126,-1.446242406649191,0.4359004956241658,-1.946608276366319,0.9362663653412939,0.08427024412872242
2025-06-01,0.28105884544363,-0.649993195494893,1.212110886382153,-1.1428623739858417,1.7049800648731017,0.21402405121225246,-0.7142416290761379,1.1422897315006428,-1.2056357973375555,1.6336838997620604,-0.17419823677713198,-1.1152696879138104,0.7668732143595464,-1.6156355576309385,1.2672390840766745,0.5939520176219144
2025-07-01,0.5588819673185088,-0.4828843635114297,1.6006482981484473,-1.0343621467920583,2.152126081429076,0.2711902144072258,-0.7930383989387857,1.3354188277532373,-1.3564069963135104,1.898787425127962,-0.12136112048113518,-1.0624325716178136,0.8197103306555431,-1.5627984413349416,1.3200762003726714,0.4409939724933438
2025-08-01,0.28872619484573736,-0.8563960357902871,1.4338484254817618,-1.4625871274465345,2.040039517138009,-0.015180531472848369,-1.1998846872707662,1.1695236243250695,-1.8270291844079438,1.796668121462247,-0.151047366300691,-1.0921188174373693,0.7900240848359874,-1.5924846871544975,1.2903899545531154,0.27641752762999644
2025-09-01,0.278744414850737,-0.9628507688408787,1.5203395985423527,-1.6201115569570306,2.1776003866585043,0.1582223503950544,-1.1358011120891538,1.4522458128792626,-1.8208157545141928,2.1372604553043013,0.0522606501518898,-0.8888108009847886,0.9933321012885681,-1.3891766707019166,1.4936979710056963,0.27505360300657733
2025-10-01,0.40618092790607685,-0.9249367604082614,1.7372986162204151,-1.6295878998364373,2.441949755648591,0.3270806562147594,-1.0677300315400584,1.7218913439695773,-1.8060982081793977,2.4602595206089166,0.011301166174199961,-0.9297702849624784,0.9523726173108783,-1.4301361546796065,1.4527384870280065,0.5243532685431054
2025-11-01,0.43711679190420183,-0.9775886697490781,1.8518222535574818,-1.7264885035208306,2.6007220873292343,0.41607397108605404,-1.0727244758395074,1.9048724180116157,-1.860846766764439,2.6929947089365474,0.23206734244513016,-0.7090041086915482,1.1731387935818085,-1.2093699784086764,1.6735046632989365,0.3904238436970413
2025-12-01,0.44030042143137127,-1.0532650121095992,1.9338658549723418,-1.843910793316176,2.7245116361789186,0.2491662633109757,-1.3280355425596266,1.826368069181578,-2.1629557448614154,2.6612882714833663,0.164860322441816,-0.7762111286948623,1.1059317735784944,-1.2765769984119906,1.6062976432956224,0.5125882975983169
2026-01-01,0.4587542754204068,-1.1097380242607067,2.02724657510152,-1.9400476924871408,2.8575562433279544,0.42450730251311963,-1.2364045989596657,2.085419203985905,-2.115638249099727,2.9646528541259665,0.31718375653299846,-0.6236727391058403,1.2580402521718372,-1.1239243174006783,1.7582918304666753,0.5658059016681704
2026-02-01,0.2797003576562105,-1.3603148383382124,1.9197155536506334,-2.2284864408059377,2.7878871561183587,0.2805185939091851,-1.4600867349400968,2.021123922758467,-2.3815075371995915,2.942544725017962,0.005041037974568785,-0.93581545766427,0.9458975336134076,-1.4360670359591081,1.4461491119082455,0.6200709400615526
2026-03-01,0.3366500733799769,-1.3718957930510756,2.0451959398110295,-2.276345341062519,2.949645487822473,0.3135020286974566,-1.5033081448025754,2.1303122021974885,-2.4650693550398937,3.092073412434807,0.07237908197246462,-0.8684774136663742,1.0132355776113033,-1.3687289919612122,1.5134871559061414,0.7453982517224436
2026-04-01,0.2927247265889905,-1.5316123806158375,2.1170618337938185,-2.497358108869892,3.082807562047873,-0.07884717863635782,-1.9817801378253834,1.8240857805526678,-2.989131996883039,2.8314376396103236,-0.16484288880589815,-1.1064033660743227,0.7767175884625264,-1.6070292500394974,1.277343472427701,0.3144701231477275
2026-05-01,0.16278068956685798,-1.7675727718733651,2.093134151007081,-2.7894401680053327,3.1150015471390486,-0.1841182512154545,-2.1570015538431866,1.7887650514122777,-3.201382887935387,2.8331463855044783,-0.5447226177178246,-1.486283094986249,0.3968378595505999,-1.9869089789514238,0.8974637435157746,0.4717326645855277
2026-06-01,0.3578092955155143,-1.6683509134515568,2.3839695044825855,-2.740935338139574,3.4565539291706027,0.21398064844616935,-1.8264585895240677,2.2544198864164064,-2.906601875569979,3.334563172462318,-0.213749898982444,-1.1553103762508685,0.7278105782859805,-1.6559362602160432,1.2284364622511552,0.6064442856454376
2026-07-01,0.5892199444571378,-1.526619096429045,2.7050589853433205,-2.646676627100961,3.8251165160152367,0.27115240109005,-1.834678539944047,2.376983342124147,-2.9494381025803844,3.491742904760484,-0.1609127826864472,-1.1024732599548717,0.7806476945819774,-1.6030991439200464,1.281273578547152,0.41535527334522065
2026-08-01,0.28295726709997915,-1.9195356560311265,2.485450190231085,-3.0854649810573678,3.651379515257326,-0.015213475155587242,-2.1844673819836045,2.1540404316724304,-3.3328010346534054,3.3023740843422305,-0.1905990285060028,-1.1321595057744274,0.7509614487624217,-1.632785389739602,1.2515873327275964,0.18615567517576376
