Clave Del,99
Delegación,Nacional
jun-15,"25,053,032"
jul-15,"25,068,342"
ago-15,"25,335,723"
sep-15,"25,569,778"
oct-15,"25,915,931"
nov-15,"26,161,380"
dic-15,"25,814,591"
ene-16,"25,922,850"
feb-16,"26,053,430"
mar-16,"25,715,325"
abr-16,"25,657,918"
may-16,"25,195,851"
jun-16,"25,472,485"
jul-16,"25,165,000"
ago-16,"25,803,568"
sep-16,"26,019,231"
oct-16,"26,199,429"
nov-16,"26,275,160"
dic-16,"25,883,481"
ene-17,"26,056,872"
feb-17,"26,167,646"
mar-17,"26,286,687"
abr-17,"26,297,194"
may-17,"26,291,176"
jun-17,"26,350,584"
jul-17,"26,346,940"
ago-17,"26,437,477"
sep-17,"26,706,511"
oct-17,"26,857,044"
nov-17,"27,094,711"
dic-17,"26,802,451"
ene-18,"26,899,294"
feb-18,"26,959,220"
mar-18,"27,044,092"
abr-18,"27,141,437"
may-18,"27,150,695"
jun-18,"27,074,974"
jul-18,"27,140,246"
ago-18,"27,164,634"
sep-18,"27,450,241"
oct-18,"27,685,432"
nov-18,"27,749,274"
dic-18,"27,426,256"
ene-19,"27,539,425"
feb-19,"27,650,148"
mar-19,"27,749,115"
abr-19,"27,937,230"
may-19,"28,107,359"
jun-19,"28,076,760"
jul-19,"28,147,643"
ago-19,"28,038,927"
sep-19,"28,480,039"
oct-19,"28,867,873"
nov-19,"29,007,035"
dic-19,"28,661,226"
ene-20,"28,713,706"
feb-20,"28,869,161"
mar-20,"28,808,397"
abr-20,"28,185,849"
may-20,"27,917,849"
jun-20,"27,549,727"
jul-20,"27,436,543"
ago-20,"27,321,561"
sep-20,"27,343,451"
oct-20,"27,654,374"
nov-20,"27,915,998"
dic-20,"27,735,887"
ene-21,"27,772,142"
feb-21,"27,908,635"
mar-21,"28,046,258"
abr-21,"28,045,773"
may-21,"27,988,086"
jun-21,"28,019,272"
jul-21,"28,099,639"
ago-21,"28,146,363"
sep-21,"28,498,584"
oct-21,"28,937,232"
nov-21,"29,235,772"
dic-21,"28,916,673"
ene-22,"29,111,081"
feb-22,"29,292,460"
mar-22,"29,311,007"
abr-22,"29,255,567"
may-22,"29,238,468"
jun-22,"29,230,484"
jul-22,"29,084,966"
ago-22,"29,088,207"
sep-22,"29,546,550"
oct-22,"29,908,744"
nov-22,"30,090,494"
dic-22,"29,764,445"
ene-23,"29,865,254"
feb-23,"30,065,669"
mar-23,"30,247,060"
abr-23,"30,271,662"
may-23,"30,316,145"
jun-23,"30,227,396"
jul-23,"30,103,201"
ago-23,"30,129,293"
sep-23,"30,649,510"
oct-23,"31,101,273"
nov-23,"31,223,808"
dic-23,"30,943,834"
ene-24,"31,039,361"
feb-24,"31,232,339"
